year;ies_sigle;fact_student_aggregated_matriculation_total
2015;ANHANGUERA;29198
2015;CRUZEIRO DO SUL;22038
2015;UNG;333
2015;USJT;22665
2015;ESTÁCIO;9671
2015;UNIFIAM FAAM;10542
2015;UNIP;78824
2015;FMU;50701
2015;UNICID;16680
2015;UNINOVE;118277
2015;UNIESP;11173
2015;FIP;617
2015;UAM;38720
2015;FDDJ;739
2015;DRUMMOND;7361
2015;CSEJCDA;188
2015;FIC;62
2015;IED SP;405
2015;PUCSP;13520
2015;MACKENZIE;32131
2015;UNISAL;613
2015;FASM;2281
2015;FAATESP;241
2015;CANTAREIRA;752
2015;UNIB;2875
2015;FAAP;4260
2015;UNASP;2809
2015;OSWALDO CRUZ;2917
2015;FLAMINGO;3586
2015;FESP;1074
2015;USF;104
2015;FAESP;199
2015;FAB;407
2015;HOTEC;1341
2015;SÃO CAMILO;4204
2015;SANTA MARINA;789
2015;FACDOTT;699
2015;F.T.U.;20
2015;UNICASTELO;5969
2015;FAMOSP;279
2015;IPEP;139
2015;FAPPES;717
2015;UNISA;6169
2015;SENAC;6888
2015;BANDTEC;413
2015;FIAP;2799
2015;ITESP;127
2015;FACEAS;1153
2015;FCE;159
2015;ESNS;165
2015;SENAI;1523
2015;INSPER;1945
2015;FACIS;66
2015;FPD;852
2015;UNISANT'ANNA;5083
2015;FMSL;85
2015;SAINT PAUL;51
2015;FINACI;101
2015;IBTA;865
2015;CENTRO UNIVERSITÁRIO FAM;1645
2015;MESSIÂNICA;43
2015;TREVISAN;434
2015;ESCH;171
2015;SEQÜENCIAL;206
2015;EDUCAMAIS;298
2015;SUMARÉ;18365
2015;FATIPI;79
2015;UMC;5647
2015;FIT;1397
2015;FGV;2584
2015;FIA;147
2015;FIPECAFI;82
2015;FEBASP;4140
2015;ESPM;4913
2015;CULTURA INGLESA;55
2015;FATEC OSWALDO CRUZ;176
2015;FADISP;524
2015;ESCOLA DA CIDADE;275
2015;FRB;1456
2015;FEI;401
2015;SÃO BENTO;132
2015;SINGULARIDADES;288
2015;LEGALE;64
2015;CÁSPER LÍBERO;2312
2015;ALBERT EINSTEN;175
2015;ÍTALO;11770
2015;FECAP;2663
2015;CAMPOS SALLES;2339
2015;VERA CRUZ;55
2015;FACULDADE UNIÃO;75
2015;FAPCOM;1147
2015;FAZP;706
2015;FAETEL;524
2015;FESPSP;338
2015;UNIPAULISTANA;436
2015;FAPSS;113
2015;FPA;709
2015;FABCI;179
2015;MUNDIAL;25
2015;FAMESP;843
2015;ESEG;353
2015;FCMSCSP;1104
2015;MAUÁ;19
2015;UNIFAI;1124
2015;FACEPD;52
2015;ESAMC;85
2015;DIEESE;92
2015;FTBSP;202
2015;ISITEC;24
2015;ALVORADA PLUS;40
2015;MELIES;99
2015;FECS;25
2016;ANHANGUERA;25501
2016;CRUZEIRO DO SUL;24121
2016;ESTÁCIO;10088
2016;FMU;49270
2016;UNICID;20077
2016;UNG;223
2016;USJT;23447
2016;UNIP;76639
2016;UNINOVE;120765
2016;UNIESP;8964
2016;FIP;39
2016;UAM;45774
2016;FDDJ;782
2016;UNIFIAM FAAM;9326
2016;DRUMMOND;6530
2016;CSEJCDA;228
2016;FIC;27
2016;IED SP;325
2016;PUCSP;12695
2016;FESP;910
2016;UNISAL;582
2016;USF;2
2016;CANTAREIRA;634
2016;UNASP;2601
2016;FACEAS;1627
2016;FAPPES;852
2016;UNISA;6595
2016;OSWALDO CRUZ;2648
2016;FASM;2005
2016;FPD;1071
2016;UNISANT'ANNA;3635
2016;FLAMINGO;4542
2016;UNIB;2495
2016;FAAP;3814
2016;UNIFAI;928
2016;ISITEC;45
2016;FAB;236
2016;ALVORADA PLUS;95
2016;HOTEC;1044
2016;SANTA MARINA;429
2016;FACDOTT;508
2016;F.T.U.;39
2016;UNICASTELO;5196
2016;ESPM;4826
2016;BANDTEC;245
2016;ITESP;116
2016;FCE;236
2016;ESNS;190
2016;SENAI;1130
2016;INSPER;2046
2016;FACIS;49
2016;FMSL;81
2016;SAINT PAUL;47
2016;SÃO CAMILO;4205
2016;FINACI;82
2016;CENTRO UNIVERSITÁRIO FAM;6467
2016;MORUMBI SUL;80
2016;ALBERT EINSTEN;274
2016;TREVISAN;451
2016;SEQÜENCIAL;380
2016;FIAP;2814
2016;SUMARÉ;17643
2016;FTBSP;213
2016;MUNDIAL;66
2016;FAMESP;940
2016;SENAC;6780
2016;ESEG;383
2016;FCMSCSP;1130
2016;FGV;2772
2016;FIA;130
2016;FIPECAFI;145
2016;FEBASP;4472
2016;MESSIÂNICA;252
2016;ESCH;203
2016;EDUCAMAIS;218
2016;UMC;5917
2016;CULTURA INGLESA;72
2016;MELIES;230
2016;FIT;1314
2016;FATEC OSWALDO CRUZ;173
2016;FADISP;477
2016;ESCOLA DA CIDADE;310
2016;FRB;1351
2016;IBTA;489
2016;FEI;361
2016;SÃO BENTO;137
2016;SINGULARIDADES;453
2016;LEGALE;74
2016;ÍTALO;7971
2016;FECAP;2758
2016;MACKENZIE;29373
2016;CAMPOS SALLES;3372
2016;VERA CRUZ;37
